src_id,cand_id,cosine_sim,src_text,cand_text
3,1,0.1924798690785483,Bell Laboratories,"Bell Labs, Lucent Technologies"
22,1,0.5447311088697389,"Bell Laboratories, Lucent Technologies","Bell Labs, Lucent Technologies"
100,1,0.16963287708272579,Bell Laboratories (India),"Bell Labs, Lucent Technologies"
1,103,0.1294900747078338,"Bell Labs, Lucent Technologies",AT&T Labs-Research
347,1,0.1633220070123642,"Data Mining Technologies, Oracle","Bell Labs, Lucent Technologies"
455,1,0.5937886096741996,Bell Labs,"Bell Labs, Lucent Technologies"
983,1,0.395716223837816,"Lucent Technologies - Bell Laboratories, Murray Hill, NJ","Bell Labs, Lucent Technologies"
1,1020,0.5447311088697389,"Bell Labs, Lucent Technologies","Lucent Technologies, Bell Laboratories"
1304,1,0.3808903819318801,"Lucent Bell Labs, Murray Hill, NJ","Bell Labs, Lucent Technologies"
1561,1,0.11928631037642334,"Spatial Technologies, Oracle Corporation, Nashua, New Hampshire","Bell Labs, Lucent Technologies"
1,1635,0.16596060250072386,"Bell Labs, Lucent Technologies",AT&T Labs
1,1702,0.1294900747078338,"Bell Labs, Lucent Technologies",AT&T Labs - Research
1,2246,0.49096158817431823,"Bell Labs, Lucent Technologies","Bell Labs, Alcatel-Lucent"
1,2647,0.1821734214390094,"Bell Labs, Lucent Technologies","Motorola Labs, Schaumburg, IL"
1,3142,0.1294900747078338,"Bell Labs, Lucent Technologies",AT&T Labs--Research
3632,1,0.16755657995318063,Telcordia Technologies,"Bell Labs, Lucent Technologies"
3755,1,0.09198588378865957,Hewlett-Packard Labs,"Bell Labs, Lucent Technologies"
1,3905,0.17015820869027565,"Bell Labs, Lucent Technologies",Chutney Technologies
4330,1,0.4872678287557015,Bell Labs Research,"Bell Labs, Lucent Technologies"
4397,1,0.5447311088697389,Lucent Technologies-Bell Laboratories,"Bell Labs, Lucent Technologies"
1,5591,0.34035124318929255,"Bell Labs, Lucent Technologies","Bell Labs Research India, India"
5655,1,0.3199696268234933,"Bell Labs Research, Bangalore, India","Bell Labs, Lucent Technologies"
1,5671,0.21914396702183625,"Bell Labs, Lucent Technologies","Bell Laboratories, Alcatel-Lucent, Lisle, IL, USA"
6475,1,0.19934894582563356,"Lucent Bell Labs, 600 Mountain Avenue, Murray Hill, NJ, Computer Science and Engg., Tndian Institiue of Technology, Mumbai 400076,INDIA","Bell Labs, Lucent Technologies"
1,6476,0.21060900459798315,"Bell Labs, Lucent Technologies","Database Systems Lab, SERC, Indian Institue of science, Bangalore 560012,INDIA, Lucent Bell Labs, 600 Mountain Avenue, Murray Hill, NJ"
6487,1,0.30906511849161666,"Bell Labs, Murray Hill, NJ","Bell Labs, Lucent Technologies"
1,6538,0.5937886096741996,"Bell Labs, Lucent Technologies",Bell Labs.
6628,1,0.11928670909901073,"Telcordia Technologies, Morristown, NJ","Bell Labs, Lucent Technologies"
1,6764,0.1294900747078338,"Bell Labs, Lucent Technologies","AT&T Labs, Research"
6783,1,0.395716223837816,"Lucent Technologies, Bell Laboratories, Murray Hill, NJ","Bell Labs, Lucent Technologies"
6784,1,0.3744726432156288,"Lucent Technologies, Murray Hill, NJ","Bell Labs, Lucent Technologies"
6972,1,0.11917557925853994,"Chutney Technologies, Inc., Atlanta, GA","Bell Labs, Lucent Technologies"
7007,1,0.8417997738944358,"Bell Labs, Lucent","Bell Labs, Lucent Technologies"
1,7120,0.7247456180821644,"Bell Labs, Lucent Technologies","Bell Labs, Lucent Technologies Murray Hill, NJ"
1,7320,0.3968883008984434,"Bell Labs, Lucent Technologies","Bell Laboratories, Lucent Technologies, Murray Hill, NJ"
1,7392,0.7855501105655203,"Bell Labs, Lucent Technologies","Lucent Technologies, Bell Labs"
7630,1,0.21271697833604375,Tavant Technologies,"Bell Labs, Lucent Technologies"
7717,1,0.37525446801029183,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, USA; {cychan, pascal, minos, rastogi}@research.bell-labs.com","Bell Labs, Lucent Technologies"
1,7861,0.19369988440274377,"Bell Labs, Lucent Technologies","Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ 07974, USA; e-mail: {minos,rastogi}@bell-labs.com"
1,7913,0.2916437312341078,"Bell Labs, Lucent Technologies","Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, Murray Hill, USA"
7999,1,0.6786295568226639,"Bell Labs, Lucent Technologies, Murray Hill, New Jersey","Bell Labs, Lucent Technologies"
8037,1,0.12424546253081814,"Chutney Technologies, Atlanta, GA","Bell Labs, Lucent Technologies"
8098,1,0.5358481616568184,"Bell Laboratories, Lucent Technologies, USA","Bell Labs, Lucent Technologies"
1,8206,0.7247456180821644,"Bell Labs, Lucent Technologies","Bell Labs, Lucent Technologies, Murray Hill, NJ"
1,9040,0.15798333314238477,"Bell Labs, Lucent Technologies","Carnegie Mellon University, Akamai Technologies"
9099,1,0.1249654763607061,NEC Labs America,"Bell Labs, Lucent Technologies"
2,176,0.16972685962532552,"Intel Research, Berkeley","Intel Corporation, Santa Clara, CA"
2,246,0.3698806882895982,"Intel Research, Berkeley","Intel Research Pittsburgh, Pittsburgh, PA"
2,543,0.3912663315774074,"Intel Research, Berkeley",Berkeley
547,2,0.20022600089410592,UC Berkeley,"Intel Research, Berkeley"
548,2,1.0,Intel Research Berkeley,"Intel Research, Berkeley"
2,663,0.17674796742352794,"Intel Research, Berkeley","U.C. Berkeley, EECS Dept., Berkeley, CA"
2,903,0.15546679051761125,"Intel Research, Berkeley","EECS Computer Science Division, University of California Berkeley, Berkeley, CA"
2,1293,0.19427815086739053,"Intel Research, Berkeley","Univ. California, Berkeley"
2,1385,0.1876369017367452,"Intel Research, Berkeley","University of California, Berkeley"
2,1698,0.5325691274188427,"Intel Research, Berkeley",Intel Research Pittsburgh
1707,2,0.15219121621057674,"Lawrence Berkeley National Laboratory, Berkeley, CA","Intel Research, Berkeley"
2,1816,0.20022600089410592,"Intel Research, Berkeley","UC, Berkeley"
2,1867,0.16130537672645995,"Intel Research, Berkeley","UC Berkeley, EECS Dept. Berkeley, CA"
2611,2,0.06195089406066656,Siemens Corporate Research,"Intel Research, Berkeley"
2,2780,0.26650907555408176,"Intel Research, Berkeley",Intel Corporation
