id1,affil1,affil_tokens,affil_tokens_labeled
7927,", IBM Almaden Research Center, 650 Harry Road, CA 95120, San Jose, USA",IBM Almaden Research Center; CA; 95120; San Jose; USA,IBM Almaden Research Center<ORG>; CA<GPE>; 95120<CARDINAL>; San Jose<GPE>; USA<GPE>
7930,", IIT Bombay",IIT Bombay,IIT Bombay<ORG>
7987,", University of California, San Diego, USA",University of California; San Diego; USA,University of California<ORG>; San Diego<GPE>; USA<GPE>
5613,"28msec Inc., Zurich, Switzerland",28msec Inc.; Zurich; Switzerland,28msec Inc.<ORG>; Zurich<GPE>; Switzerland<GPE>
9530,"28msec, Inc.","28msec, Inc.","28msec, Inc.<ORG>"
7952,"76 Patision Street, Athens University of Economics and Business, Athens, Greece",Athens University of Economics and Business; Athens; Greece,Athens University of Economics and Business<ORG>; Athens<GPE>; Greece<GPE>
7569,Aalborg Univ.,Aalborg Univ,Aalborg Univ<ORG>
7608,"Aalborg Univ., Aalborg, The Netherlands",Aalborg Univ; Aalborg; The Netherlands,Aalborg Univ<ORG>; Aalborg<GPE>; The Netherlands<GPE>
946,Aalborg University,Aalborg University,Aalborg University<ORG>
2336,"Aalborg University, Aalborg, Denmark",Aalborg University; Aalborg; Denmark,Aalborg University<ORG>; Aalborg<GPE>; Denmark<GPE>
2367,"Aalborg University, Denmark",Aalborg University; Denmark,Aalborg University<ORG>; Denmark<GPE>
8298,"Aalborg University, Denmark, Ost, Denmark",Aalborg University; Denmark; Ost,Aalborg University<ORG>; Denmark<GPE>; Ost<GPE>
651,"Advanced Data Management Technologies Laboratory, Department of Computer Science, University of Pittsburgh, Pittsburgh, PA",Advanced Data Management Technologies Laboratory; Department of Computer Science; University of Pittsburgh; Pittsburgh; PA,Advanced Data Management Technologies Laboratory<ORG>; Department of Computer Science<ORG>; University of Pittsburgh<ORG>; Pittsburgh<GPE>; PA<GPE>
7572,Agricultural Univ. of Athens,Agricultural Univ. of Athens,Agricultural Univ. of Athens<ORG>
8865,"Alma Mater Studiorum—Università di Bologna, Bologna, Italy",Alma Mater Studiorum; Università di Bologna; Bologna; Italy,Alma Mater Studiorum<ORG>; Università di Bologna<ORG>; Bologna<GPE>; Italy<GPE>
8445,Almaden,Almaden,Almaden<PERSON>
5887,"Almaden Research Center, San Jose, CA, USA",Almaden Research Center; San Jose; CA; USA,Almaden Research Center<ORG>; San Jose<GPE>; CA<GPE>; USA<GPE>
672,"Amazon Corp., Seattle",Amazon Corp.; Seattle,Amazon Corp.<ORG>; Seattle<GPE>
8128,"Amazon.com, Seattle",Amazon.com; Seattle,Amazon.com<ORG>; Seattle<GPE>
8425,"Applications Research Laboratory, Corporate Technology Group, Intel Corporation, USA",Applications Research Laboratory; Corporate Technology Group; Intel Corporation; USA,Applications Research Laboratory<ORG>; Corporate Technology Group<ORG>; Intel Corporation<ORG>; USA<GPE>
3893,"Aristotle University, Thessaloniki, Greece",Aristotle University; Thessaloniki; Greece,Aristotle University<ORG>; Thessaloniki<GPE>; Greece<GPE>
2341,"Arizona State Univ., Tempe, AZ",Arizona State Univ; Tempe; AZ,Arizona State Univ<ORG>; Tempe<GPE>; AZ<GPE>
2634,Arizona State University,Arizona State University,Arizona State University<ORG>
494,"Arizona State University, Arizona",Arizona State University; Arizona,Arizona State University<ORG>; Arizona<GPE>
2385,"Arizona State University, Tempe, AZ",Arizona State University; Tempe; AZ,Arizona State University<ORG>; Tempe<GPE>; AZ<GPE>
5629,"Arizona State University, Tempe, AZ, USA",Arizona State University; Tempe; AZ; USA,Arizona State University<ORG>; Tempe<GPE>; AZ<GPE>; USA<GPE>
9469,"Arizona State University, Tempe, USA",Arizona State University; Tempe; USA,Arizona State University<ORG>; Tempe<GPE>; USA<GPE>
3068,Aster Data,Aster Data,Aster Data<PERSON>
9563,Aster Data Systems,Aster Data Systems,Aster Data Systems<ORG>
5130,"ASU, Tempe, AZ",ASU; Tempe; AZ,ASU<ORG>; Tempe<GPE>; AZ<GPE>
4046,AT & T Labs-Research,AT & T Labs,AT & T Labs<ORG>
4168,"AT & T Labs-Research, Florham Park, NJ",AT & T Labs-Research; Florham Park; NJ,AT & T Labs-Research<ORG>; Florham Park<GPE>; NJ<GPE>
9264,"AT & T Labs-Research, Florham Park, USA 07932",AT & T Labs-Research; Florham Park; USA; 07932,AT & T Labs-Research<ORG>; Florham Park<GPE>; USA<GPE>; 07932<CARDINAL>
3435,AT&T,AT&T,AT&T<ORG>
6808,AT&T Laboratories,AT&T Laboratories,AT&T Laboratories<ORG>
6259,"AT&T Laboratories - Research, Florham Park, NJ, USA",AT&T Laboratories -; Florham Park; NJ; USA,AT&T Laboratories -<ORG>; Florham Park<GPE>; NJ<GPE>; USA<GPE>
1635,AT&T Labs,AT&T Labs,AT&T Labs<ORG>
1702,AT&T Labs - Research,AT&T Labs,AT&T Labs<ORG>
4264,"AT&T Labs - Research, Florham Park, NJ",AT&T Labs; Florham Park; NJ,AT&T Labs<ORG>; Florham Park<GPE>; NJ<GPE>
5865,"AT&T Labs - Research, Florham Park, NJ, USA",AT&T Labs -; Florham Park; NJ; USA,AT&T Labs -<ORG>; Florham Park<GPE>; NJ<GPE>; USA<GPE>
7429,AT&T Labs -- Research,AT&T Labs,AT&T Labs<ORG>
7761,"AT&T Labs &ndash;&#8211; Research, 180 Park Avenue, Bldg 103, Florham Park, NJ 07932, USA; E-mail: divesh@research.att.com",Research; Florham Park; NJ; 07932; USA,Research<ORG>; Florham Park<GPE>; NJ<GPE>; 07932<CARDINAL>; USA<GPE>
2240,AT&T Labs Inc.,AT&T Labs Inc.,AT&T Labs Inc.<ORG>
6367,"AT&T Labs Inc. - Research, Florham Park, NJ, USA",AT&T Labs Inc.; Florham Park; NJ; USA,AT&T Labs Inc.<ORG>; Florham Park<GPE>; NJ<GPE>; USA<GPE>
454,AT&T Labs Research,AT&T Labs Research,AT&T Labs Research<ORG>
7730,"AT&T Labs Research, 180 Park Avenue, Room E243, Florham Park, NJ 07932, USA; E-mail: mff@research.att.com",AT&T Labs Research; E243; Florham Park; NJ; 07932; USA,AT&T Labs Research<ORG>; E243<CARDINAL>; Florham Park<GPE>; NJ<GPE>; 07932<CARDINAL>; USA<GPE>
7699,"AT&T Labs Research, Florham Park, N.J., USA; e-mail: divesh@research.att.com",AT&T Labs Research; Florham Park; N.J.; USA,AT&T Labs Research<ORG>; Florham Park<GPE>; N.J.<GPE>; USA<GPE>
1072,"AT&T Labs Research, Florham Park, NJ",AT&T Labs Research; Florham Park; NJ,AT&T Labs Research<ORG>; Florham Park<GPE>; NJ<GPE>
5996,"AT&T Labs Research, Florham Park, NJ, USA",AT&T Labs Research; Florham Park; NJ; USA,AT&T Labs Research<ORG>; Florham Park<GPE>; NJ<GPE>; USA<GPE>
7733,AT&T Labs Research; E-mail: suciu@research.att.com,AT&T Labs Research,AT&T Labs Research<ORG>
7080,AT&T Labs---Research,AT&T Labs,AT&T Labs<ORG>
7659,"AT&T Labs---Research, Florham Park, NJ",AT&T Labs; Research; Florham Park; NJ,AT&T Labs<ORG>; Research<ORG>; Florham Park<GPE>; NJ<GPE>
3142,AT&T Labs--Research,AT&T Labs,AT&T Labs<ORG>
3117,"AT&T Labs--Research, Florham Park, NJ",AT&T Labs; Florham Park; NJ,AT&T Labs<ORG>; Florham Park<GPE>; NJ<GPE>
8034,"AT&T Labs--Research, NJ",AT&T Labs; Research; NJ,AT&T Labs<ORG>; Research<ORG>; NJ<GPE>
8024,"AT&T Labs--Research, USA",AT&T Labs; USA,AT&T Labs<ORG>; USA<GPE>
103,AT&T Labs-Research,AT&T Labs-Research,AT&T Labs-Research<ORG>
7737,"AT&T Labs-Research, 180 Park Ave., Room E 233, Florham Park, NJ 07932-0971, USA; http://www.research.att.com/~suciu",AT&T Labs-Research; 233; Florham Park; NJ; 07932; USA,AT&T Labs-Research<ORG>; 233<CARDINAL>; Florham Park<GPE>; NJ<GPE>; 07932<CARDINAL>; USA<GPE>
7710,"AT&T Labs-Research, 180 Park Avenue, Bldg. 103, Florham Park, NJ 07932, USA; e-mail: {sihem, divesh}@research.att.com",AT&T Labs-Research; Bldg. 103; Florham Park; NJ; 07932; USA,AT&T Labs-Research<ORG>; Bldg. 103<FAC>; Florham Park<GPE>; NJ<GPE>; 07932<CARDINAL>; USA<GPE>
8948,"AT&T Labs-Research, Florham Park NJ",AT&T Labs-Research; Florham Park; NJ,AT&T Labs-Research<ORG>; Florham Park<GPE>; NJ<GPE>
2964,"AT&T Labs-Research, Florham Park, NJ",AT&T Labs-Research; Florham Park; NJ,AT&T Labs-Research<ORG>; Florham Park<GPE>; NJ<GPE>
5773,"AT&T Labs-Research, New Jersey, NJ, USA",AT&T Labs-Research; New Jersey; NJ; USA,AT&T Labs-Research<ORG>; New Jersey<GPE>; NJ<GPE>; USA<GPE>
1456,"AT&T Labs-Research, NJ",AT&T Labs-Research; NJ,AT&T Labs-Research<ORG>; NJ<GPE>
8577,"AT&T Labs-Research, USA",AT&T Labs-Research; USA,AT&T Labs-Research<ORG>; USA<GPE>
9240,"AT&T Labs, Florham Park, NJ",AT&T Labs; Florham Park; NJ,AT&T Labs<ORG>; Florham Park<GPE>; NJ<GPE>
6156,"AT&T Labs, Florham Park, NJ, USA",AT&T Labs; Florham Park; NJ; USA,AT&T Labs<ORG>; Florham Park<GPE>; NJ<GPE>; USA<GPE>
6764,"AT&T Labs, Research",AT&T Labs,AT&T Labs<ORG>
7624,AT&T Labs?Research,AT&T Labs?Research,AT&T Labs?Research<ORG>
9400,"AT&T Labs&mdash;&#8212;Research, Florham Park, NJ",AT&T Labs&mdash;&#8212;Research; Florham Park; NJ,AT&T Labs&mdash;&#8212;Research<ORG>; Florham Park<GPE>; NJ<GPE>
7112,AT&T Research,AT&T Research,AT&T Research<ORG>
7105,"AT&T Research Laboratory, Florham Park, NJ",AT&T Research Laboratory; Florham Park; NJ,AT&T Research Laboratory<ORG>; Florham Park<GPE>; NJ<GPE>
3074,Athens Univ. of Economics and Business,Athens Univ. of Economics and Business,Athens Univ. of Economics and Business<ORG>
5179,"Athens University of Economics and Business, Athens, Greece",Athens University of Economics and Business; Athens; Greece,Athens University of Economics and Business<ORG>; Athens<GPE>; Greece<GPE>
2494,"Athens University of Economics and Business, Greece",Athens University of Economics and Business; Greece,Athens University of Economics and Business<ORG>; Greece<GPE>
5204,"ATT Labs - Research, Florham Park, NJ",ATT Labs - Research; Florham Park; NJ,ATT Labs - Research<ORG>; Florham Park<GPE>; NJ<GPE>
