node_id,cluster_id,cluster_size
4,0,5
4476,0,5
5866,0,5
8759,0,5
9434,0,5
8204,1,1
6,2,5
268,2,5
2228,2,5
5709,2,5
8558,2,5
12,3,7
479,3,7
6026,3,7
6754,3,7
6957,3,7
8004,3,7
9237,3,7
2935,4,1
18,5,19
233,5,19
896,5,19
943,5,19
1462,5,19
1463,5,19
4139,5,19
5598,5,19
6472,5,19
6519,5,19
7670,5,19
8062,5,19
8063,5,19
8064,5,19
8354,5,19
8575,5,19
9039,5,19
9041,5,19
9792,5,19
29,6,4
4422,6,4
8154,6,4
8695,6,4
30,7,3
5945,7,3
9083,7,3
32,8,3
966,8,3
9294,8,3
42,9,5
3038,9,5
3111,9,5
9020,9,5
9306,9,5
59,10,9
1782,10,9
1987,10,9
2255,10,9
5105,10,9
6562,10,9
6776,10,9
8095,10,9
8832,10,9
60,11,9
1483,11,9
1839,11,9
3659,11,9
5839,11,9
6563,11,9
6775,11,9
7038,11,9
8301,11,9
63,12,2
8949,12,2
4201,13,2
8434,13,2
64,14,2
8435,14,2
72,15,11
919,15,11
1156,15,11
1807,15,11
2440,15,11
6402,15,11
6468,15,11
6690,15,11
6738,15,11
6979,15,11
9374,15,11
7,16,42
48,16,42
70,16,42
75,16,42
120,16,42
195,16,42
515,16,42
540,16,42
694,16,42
762,16,42
840,16,42
1274,16,42
1390,16,42
1522,16,42
1527,16,42
1769,16,42
2226,16,42
2363,16,42
2419,16,42
2461,16,42
3223,16,42
3308,16,42
4814,16,42
5280,16,42
5554,16,42
5710,16,42
6166,16,42
6967,16,42
7083,16,42
7747,16,42
7810,16,42
7890,16,42
7935,16,42
8686,16,42
8687,16,42
8804,16,42
8992,16,42
9136,16,42
9231,16,42
9292,16,42
9376,16,42
9486,16,42
9493,17,2
9495,17,2
76,18,6
173,18,6
746,18,6
2990,18,6
5661,18,6
6178,18,6
78,19,8
907,19,8
2161,19,8
3238,19,8
4850,19,8
6346,19,8
7984,19,8
8243,19,8
81,20,15
107,20,15
597,20,15
1448,20,15
1926,20,15
2149,20,15
2851,20,15
3243,20,15
6505,20,15
7607,20,15
7799,20,15
8059,20,15
8274,20,15
8538,20,15
8748,20,15
86,21,5
772,21,5
892,21,5
2087,21,5
8530,21,5
89,22,25
287,22,25
567,22,25
616,22,25
1019,22,25
1064,22,25
1076,22,25
1369,22,25
1391,22,25
1409,22,25
1546,22,25
2205,22,25
2422,22,25
2899,22,25
3200,22,25
4018,22,25
4088,22,25
5818,22,25
6060,22,25
6570,22,25
6851,22,25
7090,22,25
7180,22,25
8684,22,25
