node_id,cluster_id,cluster_size
1532,0,9
4573,0,9
8320,0,9
8465,0,9
8508,0,9
8837,0,9
9191,0,9
9305,0,9
9355,0,9
37,1,17
369,1,17
1261,1,17
1529,1,17
2131,1,17
2138,1,17
2840,1,17
3128,1,17
3310,1,17
5066,1,17
5117,1,17
5737,1,17
7439,1,17
7771,1,17
7886,1,17
8139,1,17
8842,1,17
1577,2,3
8042,2,3
9135,2,3
5715,3,8
8253,3,8
8500,3,8
8788,3,8
9141,3,8
9201,3,8
9351,3,8
9354,3,8
8258,4,2
8511,4,2
5716,5,3
8516,5,3
9353,5,3
895,6,3
6521,6,3
8571,6,3
20,7,15
34,7,15
240,7,15
428,7,15
1322,7,15
1659,7,15
6944,7,15
7789,7,15
8159,7,15
8306,7,15
8479,7,15
8679,7,15
8950,7,15
9056,7,15
9480,7,15
63,8,2
8949,8,2
431,9,3
2959,9,3
8834,9,3
407,10,9
538,10,9
6496,10,9
7240,10,9
7582,10,9
7695,10,9
7712,10,9
7967,10,9
8449,10,9
81,11,12
597,11,12
1448,11,12
2149,11,12
2851,11,12
3243,11,12
7607,11,12
7799,11,12
8059,11,12
8274,11,12
8538,11,12
8748,11,12
72,12,8
919,12,8
1807,12,8
6402,12,8
6690,12,8
6738,12,8
6979,12,8
9374,12,8
1184,13,14
1572,13,14
1974,13,14
1980,13,14
2031,13,14
2037,13,14
3867,13,14
4158,13,14
4737,13,14
4740,13,14
5675,13,14
5800,13,14
7036,13,14
9593,13,14
273,14,4
1434,14,4
6727,14,4
7788,14,4
2795,15,2
6258,15,2
4422,16,3
8154,16,3
8695,16,3
42,17,3
3038,17,3
9306,17,3
41,18,11
51,18,11
760,18,11
1387,18,11
1767,18,11
2323,18,11
3826,18,11
5403,18,11
5676,18,11
8683,18,11
9385,18,11
762,19,3
7890,19,3
8686,19,3
48,20,9
840,20,9
1390,20,9
1769,20,9
2461,20,9
7810,20,9
8687,20,9
8992,20,9
9376,20,9
1726,21,2
2281,21,2
1607,22,3
2425,22,3
2438,22,3
2603,23,3
2895,23,3
8534,23,3
915,24,2
4516,24,2
2706,25,4
5889,25,4
6210,25,4
9721,25,4
2711,26,4
5894,26,4
6451,26,4
9726,26,4
2583,27,3
8459,27,3
9641,27,3
887,28,2
9735,28,2
1476,29,8
1595,29,8
2336,29,8
2367,29,8
7786,29,8
7980,29,8
8298,29,8
9360,29,8
580,30,7
2221,30,7
2862,30,7
6609,30,7
7870,30,7
8148,30,7
9785,30,7
581,31,2
1411,31,2
2222,32,4
2687,32,4
8179,32,4
8295,32,4
2691,33,3
7680,33,3
9413,33,3
988,34,2
3961,34,2
2338,35,2
5146,35,2
1225,36,11
1496,36,11
1723,36,11
2649,36,11
